Filename	Reflections	Pixel/Object Changes	Helper Functions	Program Instructions
0a938d79.png	The task involves translating the two single-coloured pixels that are present in the input grid to vertical strips of the same colour in the output grid. Once the two vertical strips are generated, the pattern is repeated in an alternating order, keeping the horizontal distance between the vertical stips the same.	The two distinct coloured pixels in the input grid are converted into vertical strips of the same colour and then repeated multiple times. 	get_objects(): To identify the position and colour of the two pixels that are coloured. get_object_color(): To get the colour of the coloured pixels. empty_grid(): To create the skeleton of the output grid fill_col(): To fill the corresponding column in the output grid with the colour of the pixels identified in the input grid.	1. Use get_objects(grid, by_color=True) to identify the two single-coloured pixels and their coordinates 2. Retrieve the colour of the pixel using get_object_color(obj) 3. Create an empty grid of the same size as the output using empty_grid(row, col) 4. Use fill_col(empty_grid, col_num, value) with the column number as the x-coordinate of the coloured pixel and the value as the colour of the pixel, filling the column from the top of the grid to the bottom 5. Repeat for each colored pixel identified in step 1. 6. Repeat the entire pattern until you reach the end of the grid.
178fcbfb.png	The task is to identify the individual colored pixels in the grid and draw vertical and horizontal lines across the entire grid from those pixels' locations, using the same color as the original pixel.	Colored pixels act as origins for vertical and horizontal lines that span the entire grid in their respective row and column.	get_pixel_coords(grid) to find the coordinates of the individual colored pixels. fill_col(grid, col_num, value) to draw vertical lines for red pixels. fill_row(grid, row_num, value) to draw horizontal lines for pixels of other colors.	1. Use get_pixel_coords(grid) to list all the individual colored pixels and their locations. 2. Iterate over each pixel. If the pixel is red, use fill_col(grid, col_num, 'red') to draw a vertical red line at the pixel's x-coordinate. For pixels of other colors, use fill_row(grid, row_num, value) to draw a horizontal line at the pixel's y-coordinate in the color of the pixel. 3. Ensure that when lines intersect, the color of the horizontal line is applied to the intersecting cell. 4. Repeat this process for each colored pixel in the input to create the pattern in the output grid.
496994bd.png	This task involves constructing a version of the input grid that can be mirrored along the horizontal axis.	There are 1 new object at the lower section of the grid. The new object is a vertically flipped version of the object on the top.	get_objects can be used to obtain the object on the top. vertical_flip can be used to obtain the mirrored object.	1. Obtain the object on the top using get_objects. 2. Obtain a flipped version of the object using vertical_flip. 3. Fill the flipped object at the lower section of the grid.
c9e6f938.png	The task creates a mirrored version of the input grid and appending it to the right side of the original, effectively doubling the width of the grid.	Each input grid is mirrored along its vertical axis and joined to the right, resulting in a grid that is twice as wide with a symmetrical pattern.	horizontal_flip: To create a mirrored copy of the input grid.\ncombine_object: To place the original and mirrored grids next to each other, effectively doubling the width of the original grid.	1. Use the `horizontal_flip` function to create a horizontally mirrored copy of the input grid.\n2. Combine the original grid with the flipped grid side by side to create the output grid.
1f0c79e5.png	The task entails identifying a square in the input grid that consists of one or more shared vertex of red colour. The goal is to extend two adjacent sides of this square from the red vertex, creating a pattern that extends diagonally across the grid from the position of the red vertex.	The important objects in this case are the coloured squares containing one or more red vertex. The sides of the squares adjacent to the red vertex are extended diagonally across the grid.	get_objects(): To detect squares. get_pixel_coords(): To find the specific coordinates of the red colour that serves as a vertex for the extension. fill_between_coords(): To fill in the cells diagonally between two coordinates.	1. Use `get_objects(grid, multicolor=True)` to detect all squares consisting of two colours. 2. Within each detected object, use get_pixel_coords() to find the red vertex. 3. Determine the coordinates to which you will extend from the red vertex. In this case, it is the edge of the grid. 4. Use fill_between_coords(grid, coord_1, coord_2, value) to fill in the cells diagonally from the red vertex. 5. If there are multiple red vertices within a square or multiple squares, repeat steps 2 to 4 for each vertex.
e98196ab.png	The task involves splitting the input grid by a grey line and then combining the two halves, prioritizing colored pixels over black pixels.	The input is divided along a grey line, resulting in two halves. These halves are then merged such that when one half has a colored pixel at any position, it is preferred over a black pixel at the same position in the other half.	get_pixel_coords: To identify the coordinates of the grey dividing line.\ncrop_grid: To separate the input into two halves at the grey line.\ncombine_object: To overlay one half over the other, ensuring colored pixels take precedence over black pixels.	1. Identify the grey line that divides the input into two halves.\n2. Create a function to overlay one half over the other, giving priority to colored pixels over black pixels.\n3. Merge the halves according to the priority rule to form the output.
63613498.png	The task involves identifying an object of the same shape and recoloring it.	The output grid is very similar to the input but one object recolored. The object on the top left corner surrounded by '5' is the query. Another object of the same shape, not necessarily the same color, is recolored as '5'.  	get_objects can be used to get all the objects. change_object_color can be used to change the color of the matched object.	1. Use get_objects to get all the objects. 2. Identify the query object on the top left corner. 3. Loop through all other object and check if the object has the same shape as the query object. 4. Recolor objects that match as '5' using change_object_color.
c3f564a4.png	The task involves filling in the black squares within a colorful patterned grid by extending the colors adjacent to these black squares.	The black squares in the input are transformed in the output by filling them with the color of the nearest non-black pixel from the top-right direction.	get_pixel_coords: To find the coordinates of all black pixels.\nfill_value: To change the color of the black pixels to the color of the nearest colored pixel from the top-right direction.	1. Use `get_pixel_coords` to locate all black pixels.\n2. For each black pixel, search in the top-right direction to find the nearest colored pixel.\n3. Use `fill_value` to fill each black pixel with the color of the identified nearest colored pixel.
56dc2b01.png	This task involves positioning a pattern to a line and sandwiching it with a new line.	The object of '3' is moved to the closet position where it is touching the '2' line. A new '8' line is added to the opposite side of the object such that the '3' object is sandwiched between the two lines.	get_objects can be used to get the '3' item and the '2' line. fill_between_coords can be used to draw the new '8' line.	1. Get all objects using get_objects. 2. Identify the location of the '2' line and calculate the new position of the '3' object. 3. Move the '3' object to the new position. 4. Calculate the position of the new '8' line such that the '3' object will be sandwiched. 5. Draw the new line using fill_between_coords
253bf280.png	The task requires connecting all grey pixels with either a horizontal or vertical green line if they align on the same row or column, respectively. If the grey pixels cannot be connected because they do not align, no line is drawn. 	Grey pixels are replaced with green pixels to form a line if they align horizontally or vertically. The line is continuous and spans the full distance between the outermost grey pixels in the alignment.	get_pixel_coords(grid) to get the coordinates of grey pixels. fill_row(grid, row_num, value) to draw a horizontal green line. fill_col(grid, col_num, value) to draw a vertical green line.	1. Use get_pixel_coords(grid) to identify the positions of grey pixels. 2. Determine if the grey pixels align on the same row or column. 3. If they align horizontally, use fill_row(grid, row_num, 'green') to draw a horizontal green line connecting them. If they align vertically, use fill_col(grid, col_num, 'green') to draw a vertical green line connecting them. 4. Ensure that no lines are drawn for grey pixels that do not align on the same row or column.
